Jahr,Treffer per Mio. Wörter
1800,2.74
1801,0.00
1802,0.00
1803,0.00
1804,23.18
1805,19.21
1806,6.21
1807,5.50
1808,0.00
1809,0.00
1810,0.00
1811,0.00
1812,0.00
1813,0.00
1814,0.00
1815,0.00
1818,0.00
1819,0.00
1820,5.63
1821,0.00
1822,0.00
1824,0.00
1825,0.00
1826,8.58
1827,0.00
1828,5.51
1829,0.75
1830,0.74
1831,4.96
1832,0.79
1833,0.00
1834,2.43
1835,3.99
1836,9.15
1837,15.56
1838,12.42
1839,13.23
1840,9.43
1841,8.68
1842,5.62
1843,3.13
1844,16.63
1845,2.29
1846,0.43
1847,22.74
1848,1.55
1849,69.55
1850,11.56
1851,15.27
1852,14.65
1853,7.51
1854,22.92
1855,17.71
1856,21.97
1857,13.29
1858,28.33
1859,13.99
1860,23.41
1861,20.99
1862,8.60
1863,16.20
1864,60.23
1865,9.71
1866,26.91
1867,22.52
1868,20.63
1869,15.22
1870,18.37